pid,gid,1fuel_gas,1fuel_elec_foss,1fuel_elec_renew,2access,3chargtime,4drivrange,5fuelcost,6price,choice
4,13,0,0,1,10,15,200,0.26,373584,0
4,13,0,0,1,70,60,200,1.29,412190,0
4,13,0,1,0,70,40,200,1.03,373584,0
4,14,1,0,0,100,240,200,0.52,257619,0
4,14,0,0,1,100,40,300,1.29,373584,0
4,14,1,0,0,10,60,300,1.03,257619,1
4,14,0,1,0,10,240,300,0.52,412190,0
4,15,0,0,1,40,240,500,1.03,257619,1
4,15,1,0,0,40,40,300,0.26,412190,0
4,15,1,0,0,70,240,500,1.29,373584,0
4,15,0,0,1,10,60,500,0.52,257619,0
4,16,1,0,0,100,15,500,1.03,412190,0
4,16,0,0,1,70,15,300,0.52,257619,0
4,16,1,0,0,40,60,500,0.52,373584,0
4,16,0,1,0,40,15,200,1.29,257619,1
5,17,0,1,0,100,60,500,0.26,257619,0
5,17,0,0,1,10,15,200,0.26,373584,0
5,17,0,0,1,70,60,200,1.29,412190,1
5,17,0,1,0,70,40,200,1.03,373584,0
5,18,1,0,0,100,240,200,0.52,257619,0
5,18,0,0,1,100,40,300,1.29,373584,1
5,18,1,0,0,10,60,300,1.03,257619,0
5,18,0,1,0,10,240,300,0.52,412190,0
5,19,0,0,1,40,240,500,1.03,257619,0
5,19,1,0,0,40,40,300,0.26,412190,0
5,19,1,0,0,70,240,500,1.29,373584,0
5,19,0,0,1,10,60,500,0.52,257619,1
5,20,1,0,0,100,15,500,1.03,412190,0
5,20,0,0,1,70,15,300,0.52,257619,1
5,20,1,0,0,40,60,500,0.52,373584,0
5,20,0,1,0,40,15,200,1.29,257619,0
6,21,0,1,0,100,60,500,0.26,257619,1
6,21,0,0,1,10,15,200,0.26,373584,0
6,21,0,0,1,70,60,200,1.29,412190,0
6,21,0,1,0,70,40,200,1.03,373584,0
6,22,1,0,0,100,240,200,0.52,257619,1
6,22,0,0,1,100,40,300,1.29,373584,0
6,22,1,0,0,10,60,300,1.03,257619,0
6,22,0,1,0,10,240,300,0.52,412190,0
6,23,0,0,1,40,240,500,1.03,257619,0
6,23,1,0,0,40,40,300,0.26,412190,0
6,23,1,0,0,70,240,500,1.29,373584,1
6,23,0,0,1,10,60,500,0.52,257619,0
6,24,1,0,0,100,15,500,1.03,412190,1
6,24,0,0,1,70,15,300,0.52,257619,0
6,24,1,0,0,40,60,500,0.52,373584,0
6,24,0,1,0,40,15,200,1.29,257619,0
7,25,0,1,0,100,60,500,0.26,257619,0
7,25,0,0,1,10,15,200,0.26,373584,0
7,25,0,0,1,70,60,200,1.29,412190,0
7,25,0,1,0,70,40,200,1.03,373584,1
7,26,1,0,0,100,240,200,0.52,257619,0
7,26,0,0,1,100,40,300,1.29,373584,1
7,26,1,0,0,10,60,300,1.03,257619,0
7,26,0,1,0,10,240,300,0.52,412190,0
7,27,0,0,1,40,240,500,1.03,257619,0
7,27,1,0,0,40,40,300,0.26,412190,0
7,27,1,0,0,70,240,500,1.29,373584,0
7,27,0,0,1,10,60,500,0.52,257619,1
7,28,1,0,0,100,15,500,1.03,412190,0
7,28,0,0,1,70,15,300,0.52,257619,1
7,28,1,0,0,40,60,500,0.52,373584,0
7,28,0,1,0,40,15,200,1.29,257619,0
8,29,0,1,0,100,60,500,0.26,257619,0
8,29,0,0,1,10,15,200,0.26,373584,0
8,29,0,0,1,70,60,200,1.29,412190,0
8,29,0,1,0,70,40,200,1.03,373584,1
8,30,1,0,0,100,240,200,0.52,257619,0
8,30,0,0,1,100,40,300,1.29,373584,1
8,30,1,0,0,10,60,300,1.03,257619,0
8,30,0,1,0,10,240,300,0.52,412190,0
8,31,0,0,1,40,240,500,1.03,257619,0
8,31,1,0,0,40,40,300,0.26,412190,0
8,31,1,0,0,70,240,500,1.29,373584,1
8,31,0,0,1,10,60,500,0.52,257619,0
8,32,1,0,0,100,15,500,1.03,412190,1
8,32,0,0,1,70,15,300,0.52,257619,0
8,32,1,0,0,40,60,500,0.52,373584,0
8,32,0,1,0,40,15,200,1.29,257619,0
9,33,0,1,0,100,60,500,0.26,257619,1
9,33,0,0,1,10,15,200,0.26,373584,0
9,33,0,0,1,70,60,200,1.29,412190,0
9,33,0,1,0,70,40,200,1.03,373584,0
9,34,1,0,0,100,240,200,0.52,257619,0
9,34,0,0,1,100,40,300,1.29,373584,1
9,34,1,0,0,10,60,300,1.03,257619,0
9,34,0,1,0,10,240,300,0.52,412190,0
9,35,0,0,1,40,240,500,1.03,257619,0
9,35,1,0,0,40,40,300,0.26,412190,0
9,35,1,0,0,70,240,500,1.29,373584,0
9,35,0,0,1,10,60,500,0.52,257619,1
9,36,1,0,0,100,15,500,1.03,412190,0
9,36,0,0,1,70,15,300,0.52,257619,1
9,36,1,0,0,40,60,500,0.52,373584,0
9,36,0,1,0,40,15,200,1.29,257619,0
10,37,0,1,0,100,60,500,0.26,257619,1
10,37,0,0,1,10,15,200,0.26,373584,0
10,37,0,0,1,70,60,200,1.29,412190,0
10,37,0,1,0,70,40,200,1.03,373584,0
10,38,1,0,0,100,240,200,0.52,257619,1
10,38,0,0,1,100,40,300,1.29,373584,0
10,38,1,0,0,10,60,300,1.03,257619,0
10,38,0,1,0,10,240,300,0.52,412190,0
10,39,0,0,1,40,240,500,1.03,257619,1
10,39,1,0,0,40,40,300,0.26,412190,0
10,39,1,0,0,70,240,500,1.29,373584,0
10,39,0,0,1,10,60,500,0.52,257619,0
10,40,1,0,0,100,15,500,1.03,412190,0
10,40,0,0,1,70,15,300,0.52,257619,1
10,40,1,0,0,40,60,500,0.52,373584,0
10,40,0,1,0,40,15,200,1.29,257619,0
11,41,0,1,0,100,60,500,0.26,257619,1
11,41,0,0,1,10,15,200,0.26,373584,0
11,41,0,0,1,70,60,200,1.29,412190,0
11,41,0,1,0,70,40,200,1.03,373584,0
11,42,1,0,0,100,240,200,0.52,257619,0
11,42,0,0,1,100,40,300,1.29,373584,1
11,42,1,0,0,10,60,300,1.03,257619,0
11,42,0,1,0,10,240,300,0.52,412190,0
11,43,0,0,1,40,240,500,1.03,257619,0
11,43,1,0,0,40,40,300,0.26,412190,0
11,43,1,0,0,70,240,500,1.29,373584,1
11,43,0,0,1,10,60,500,0.52,257619,0
11,44,1,0,0,100,15,500,1.03,412190,1
11,44,0,0,1,70,15,300,0.52,257619,0
11,44,1,0,0,40,60,500,0.52,373584,0
11,44,0,1,0,40,15,200,1.29,257619,0
12,45,0,1,0,100,60,500,0.26,257619,1
12,45,0,0,1,10,15,200,0.26,373584,0
12,45,0,0,1,70,60,200,1.29,412190,0
12,45,0,1,0,70,40,200,1.03,373584,0
12,46,1,0,0,100,240,200,0.52,257619,1
12,46,0,0,1,100,40,300,1.29,373584,0
12,46,1,0,0,10,60,300,1.03,257619,0
12,46,0,1,0,10,240,300,0.52,412190,0
12,47,0,0,1,40,240,500,1.03,257619,1
12,47,1,0,0,40,40,300,0.26,412190,0
12,47,1,0,0,70,240,500,1.29,373584,0
12,47,0,0,1,10,60,500,0.52,257619,0
12,48,1,0,0,100,15,500,1.03,412190,1
12,48,0,0,1,70,15,300,0.52,257619,0
12,48,1,0,0,40,60,500,0.52,373584,0
12,48,0,1,0,40,15,200,1.29,257619,0
13,49,0,1,0,100,60,500,0.26,257619,0
13,49,0,0,1,10,15,200,0.26,373584,1
13,49,0,0,1,70,60,200,1.29,412190,0
13,49,0,1,0,70,40,200,1.03,373584,0
13,50,1,0,0,100,240,200,0.52,257619,0
13,50,0,0,1,100,40,300,1.29,373584,0
13,50,1,0,0,10,60,300,1.03,257619,1
13,50,0,1,0,10,240,300,0.52,412190,0
13,51,0,0,1,40,240,500,1.03,257619,1
13,51,1,0,0,40,40,300,0.26,412190,0
13,51,1,0,0,70,240,500,1.29,373584,0
13,51,0,0,1,10,60,500,0.52,257619,0
13,52,1,0,0,100,15,500,1.03,412190,0
13,52,0,0,1,70,15,300,0.52,257619,1
13,52,1,0,0,40,60,500,0.52,373584,0
13,52,0,1,0,40,15,200,1.29,257619,0
14,53,0,1,0,100,60,500,0.26,257619,1
14,53,0,0,1,10,15,200,0.26,373584,0
14,53,0,0,1,70,60,200,1.29,412190,0
14,53,0,1,0,70,40,200,1.03,373584,0
14,54,1,0,0,100,240,200,0.52,257619,1
14,54,0,0,1,100,40,300,1.29,373584,0
14,54,1,0,0,10,60,300,1.03,257619,0
14,54,0,1,0,10,240,300,0.52,412190,0
14,55,0,0,1,40,240,500,1.03,257619,1
14,55,1,0,0,40,40,300,0.26,412190,0
14,55,1,0,0,70,240,500,1.29,373584,0
14,55,0,0,1,10,60,500,0.52,257619,0
14,56,1,0,0,100,15,500,1.03,412190,0
14,56,0,0,1,70,15,300,0.52,257619,0
14,56,1,0,0,40,60,500,0.52,373584,0
14,56,0,1,0,40,15,200,1.29,257619,1
15,57,0,1,0,100,60,500,0.26,257619,0
15,57,0,0,1,10,15,200,0.26,373584,0
15,57,0,0,1,70,60,200,1.29,412190,1
15,57,0,1,0,70,40,200,1.03,373584,0
15,58,1,0,0,100,240,200,0.52,257619,0
15,58,0,0,1,100,40,300,1.29,373584,1
15,58,1,0,0,10,60,300,1.03,257619,0
15,58,0,1,0,10,240,300,0.52,412190,0
15,59,0,0,1,40,240,500,1.03,257619,1
15,59,1,0,0,40,40,300,0.26,412190,0
15,59,1,0,0,70,240,500,1.29,373584,0
15,59,0,0,1,10,60,500,0.52,257619,0
15,60,1,0,0,100,15,500,1.03,412190,0
15,60,0,0,1,70,15,300,0.52,257619,1
15,60,1,0,0,40,60,500,0.52,373584,0
15,60,0,1,0,40,15,200,1.29,257619,0
16,61,0,1,0,100,60,500,0.26,257619,0
16,61,0,0,1,10,15,200,0.26,373584,0
16,61,0,0,1,70,60,200,1.29,412190,1
16,61,0,1,0,70,40,200,1.03,373584,0
16,62,1,0,0,100,240,200,0.52,257619,0
16,62,0,0,1,100,40,300,1.29,373584,1
16,62,1,0,0,10,60,300,1.03,257619,0
16,62,0,1,0,10,240,300,0.52,412190,0
16,63,0,0,1,40,240,500,1.03,257619,0
16,63,1,0,0,40,40,300,0.26,412190,0
16,63,1,0,0,70,240,500,1.29,373584,0
16,63,0,0,1,10,60,500,0.52,257619,1
16,64,1,0,0,100,15,500,1.03,412190,0
16,64,0,0,1,70,15,300,0.52,257619,1
16,64,1,0,0,40,60,500,0.52,373584,0
16,64,0,1,0,40,15,200,1.29,257619,0
17,65,0,1,0,100,60,500,0.26,257619,0
17,65,0,0,1,10,15,200,0.26,373584,0
17,65,0,0,1,70,60,200,1.29,412190,1
17,65,0,1,0,70,40,200,1.03,373584,0
17,66,1,0,0,100,240,200,0.52,257619,0
17,66,0,0,1,100,40,300,1.29,373584,1
17,66,1,0,0,10,60,300,1.03,257619,0
17,66,0,1,0,10,240,300,0.52,412190,0
17,67,0,0,1,40,240,500,1.03,257619,1
17,67,1,0,0,40,40,300,0.26,412190,0
17,67,1,0,0,70,240,500,1.29,373584,0
17,67,0,0,1,10,60,500,0.52,257619,0
17,68,1,0,0,100,15,500,1.03,412190,1
17,68,0,0,1,70,15,300,0.52,257619,0
17,68,1,0,0,40,60,500,0.52,373584,0
17,68,0,1,0,40,15,200,1.29,257619,0
18,69,0,1,0,100,60,500,0.26,257619,1
18,69,0,0,1,10,15,200,0.26,373584,0
18,69,0,0,1,70,60,200,1.29,412190,0
18,69,0,1,0,70,40,200,1.03,373584,0
18,70,1,0,0,100,240,200,0.52,257619,0
18,70,0,0,1,100,40,300,1.29,373584,1
18,70,1,0,0,10,60,300,1.03,257619,0
18,70,0,1,0,10,240,300,0.52,412190,0
18,71,0,0,1,40,240,500,1.03,257619,0
18,71,1,0,0,40,40,300,0.26,412190,0
18,71,1,0,0,70,240,500,1.29,373584,1
18,71,0,0,1,10,60,500,0.52,257619,0
18,72,1,0,0,100,15,500,1.03,412190,0
18,72,0,0,1,70,15,300,0.52,257619,0
18,72,1,0,0,40,60,500,0.52,373584,1
18,72,0,1,0,40,15,200,1.29,257619,0
19,73,0,1,0,100,60,500,0.26,257619,0
19,73,0,0,1,10,15,200,0.26,373584,1
19,73,0,0,1,70,60,200,1.29,412190,0
19,73,0,1,0,70,40,200,1.03,373584,0
19,74,1,0,0,100,240,200,0.52,257619,1
19,74,0,0,1,100,40,300,1.29,373584,0
19,74,1,0,0,10,60,300,1.03,257619,0
19,74,0,1,0,10,240,300,0.52,412190,0
19,75,0,0,1,40,240,500,1.03,257619,0
19,75,1,0,0,40,40,300,0.26,412190,0
19,75,1,0,0,70,240,500,1.29,373584,0
19,75,0,0,1,10,60,500,0.52,257619,1
19,76,1,0,0,100,15,500,1.03,412190,0
19,76,0,0,1,70,15,300,0.52,257619,0
19,76,1,0,0,40,60,500,0.52,373584,0
19,76,0,1,0,40,15,200,1.29,257619,1
20,77,0,1,0,100,60,500,0.26,257619,0
20,77,0,0,1,10,15,200,0.26,373584,0
20,77,0,0,1,70,60,200,1.29,412190,1
20,77,0,1,0,70,40,200,1.03,373584,0
20,78,1,0,0,100,240,200,0.52,257619,1
20,78,0,0,1,100,40,300,1.29,373584,0
20,78,1,0,0,10,60,300,1.03,257619,0
20,78,0,1,0,10,240,300,0.52,412190,0
20,79,0,0,1,40,240,500,1.03,257619,0
20,79,1,0,0,40,40,300,0.26,412190,0
20,79,1,0,0,70,240,500,1.29,373584,1
20,79,0,0,1,10,60,500,0.52,257619,0
20,80,1,0,0,100,15,500,1.03,412190,0
20,80,0,0,1,70,15,300,0.52,257619,0
20,80,1,0,0,40,60,500,0.52,373584,0
20,80,0,1,0,40,15,200,1.29,257619,1
21,81,0,1,0,100,60,500,0.26,257619,0
21,81,0,0,1,10,15,200,0.26,373584,0
21,81,0,0,1,70,60,200,1.29,412190,1
21,81,0,1,0,70,40,200,1.03,373584,0
21,82,1,0,0,100,240,200,0.52,257619,0
21,82,0,0,1,100,40,300,1.29,373584,0
21,82,1,0,0,10,60,300,1.03,257619,0
21,82,0,1,0,10,240,300,0.52,412190,1
21,83,0,0,1,40,240,500,1.03,257619,1
21,83,1,0,0,40,40,300,0.26,412190,0
21,83,1,0,0,70,240,500,1.29,373584,0
21,83,0,0,1,10,60,500,0.52,257619,0
21,84,1,0,0,100,15,500,1.03,412190,0
21,84,0,0,1,70,15,300,0.52,257619,0
21,84,1,0,0,40,60,500,0.52,373584,0
21,84,0,1,0,40,15,200,1.29,257619,1
22,85,0,1,0,100,60,500,0.26,257619,1
22,85,0,0,1,10,15,200,0.26,373584,0
22,85,0,0,1,70,60,200,1.29,412190,0
22,85,0,1,0,70,40,200,1.03,373584,0
22,86,1,0,0,100,240,200,0.52,257619,0
22,86,0,0,1,100,40,300,1.29,373584,0
22,86,1,0,0,10,60,300,1.03,257619,1
22,86,0,1,0,10,240,300,0.52,412190,0
22,87,0,0,1,40,240,500,1.03,257619,0
22,87,1,0,0,40,40,300,0.26,412190,0
22,87,1,0,0,70,240,500,1.29,373584,0
22,87,0,0,1,10,60,500,0.52,257619,1
22,88,1,0,0,100,15,500,1.03,412190,0
22,88,0,0,1,70,15,300,0.52,257619,0
22,88,1,0,0,40,60,500,0.52,373584,0
22,88,0,1,0,40,15,200,1.29,257619,1
23,89,0,1,0,100,60,500,0.26,257619,1
23,89,0,0,1,10,15,200,0.26,373584,0
23,89,0,0,1,70,60,200,1.29,412190,0
23,89,0,1,0,70,40,200,1.03,373584,0
23,90,1,0,0,100,240,200,0.52,257619,0
23,90,0,0,1,100,40,300,1.29,373584,1
23,90,1,0,0,10,60,300,1.03,257619,0
23,90,0,1,0,10,240,300,0.52,412190,0
23,91,0,0,1,40,240,500,1.03,257619,1
23,91,1,0,0,40,40,300,0.26,412190,0
23,91,1,0,0,70,240,500,1.29,373584,0
23,91,0,0,1,10,60,500,0.52,257619,0
23,92,1,0,0,100,15,500,1.03,412190,0
23,92,0,0,1,70,15,300,0.52,257619,1
23,92,1,0,0,40,60,500,0.52,373584,0
23,92,0,1,0,40,15,200,1.29,257619,0
24,93,0,1,0,100,60,500,0.26,257619,1
24,93,0,0,1,10,15,200,0.26,373584,0
24,93,0,0,1,70,60,200,1.29,412190,0
24,93,0,1,0,70,40,200,1.03,373584,0
24,94,1,0,0,100,240,200,0.52,257619,1
24,94,0,0,1,100,40,300,1.29,373584,0
24,94,1,0,0,10,60,300,1.03,257619,0
24,94,0,1,0,10,240,300,0.52,412190,0
24,95,0,0,1,40,240,500,1.03,257619,1
24,95,1,0,0,40,40,300,0.26,412190,0
24,95,1,0,0,70,240,500,1.29,373584,0
24,95,0,0,1,10,60,500,0.52,257619,0
24,96,1,0,0,100,15,500,1.03,412190,0
24,96,0,0,1,70,15,300,0.52,257619,1
24,96,1,0,0,40,60,500,0.52,373584,0
24,96,0,1,0,40,15,200,1.29,257619,0
25,97,0,1,0,100,60,500,0.26,257619,1
25,97,0,0,1,10,15,200,0.26,373584,0
25,97,0,0,1,70,60,200,1.29,412190,0
25,97,0,1,0,70,40,200,1.03,373584,0
25,98,1,0,0,100,240,200,0.52,257619,0
25,98,0,0,1,100,40,300,1.29,373584,1
25,98,1,0,0,10,60,300,1.03,257619,0
25,98,0,1,0,10,240,300,0.52,412190,0
25,99,0,0,1,40,240,500,1.03,257619,1
25,99,1,0,0,40,40,300,0.26,412190,0
25,99,1,0,0,70,240,500,1.29,373584,0
25,99,0,0,1,10,60,500,0.52,257619,0
25,100,1,0,0,100,15,500,1.03,412190,0
25,100,0,0,1,70,15,300,0.52,257619,0
25,100,1,0,0,40,60,500,0.52,373584,0
25,100,0,1,0,40,15,200,1.29,257619,1
26,101,0,1,0,100,60,500,0.26,257619,1
26,101,0,0,1,10,15,200,0.26,373584,0
26,101,0,0,1,70,60,200,1.29,412190,0
26,101,0,1,0,70,40,200,1.03,373584,0
26,102,1,0,0,100,240,200,0.52,257619,0
26,102,0,0,1,100,40,300,1.29,373584,1
26,102,1,0,0,10,60,300,1.03,257619,0
26,102,0,1,0,10,240,300,0.52,412190,0
26,103,0,0,1,40,240,500,1.03,257619,0
26,103,1,0,0,40,40,300,0.26,412190,0
26,103,1,0,0,70,240,500,1.29,373584,0
26,103,0,0,1,10,60,500,0.52,257619,1
26,104,1,0,0,100,15,500,1.03,412190,0
26,104,0,0,1,70,15,300,0.52,257619,1
26,104,1,0,0,40,60,500,0.52,373584,0
26,104,0,1,0,40,15,200,1.29,257619,0
27,105,0,1,0,100,60,500,0.26,257619,0
27,105,0,0,1,10,15,200,0.26,373584,1
27,105,0,0,1,70,60,200,1.29,412190,0
27,105,0,1,0,70,40,200,1.03,373584,0
27,106,1,0,0,100,240,200,0.52,257619,0
27,106,0,0,1,100,40,300,1.29,373584,0
27,106,1,0,0,10,60,300,1.03,257619,1
27,106,0,1,0,10,240,300,0.52,412190,0
27,107,0,0,1,40,240,500,1.03,257619,1
27,107,1,0,0,40,40,300,0.26,412190,0
27,107,1,0,0,70,240,500,1.29,373584,0
27,107,0,0,1,10,60,500,0.52,257619,0
27,108,1,0,0,100,15,500,1.03,412190,0
27,108,0,0,1,70,15,300,0.52,257619,0
27,108,1,0,0,40,60,500,0.52,373584,0
27,108,0,1,0,40,15,200,1.29,257619,1
28,109,0,1,0,100,60,500,0.26,257619,1
28,109,0,0,1,10,15,200,0.26,373584,0
28,109,0,0,1,70,60,200,1.29,412190,0
28,109,0,1,0,70,40,200,1.03,373584,0
28,110,1,0,0,100,240,200,0.52,257619,0
28,110,0,0,1,100,40,300,1.29,373584,1
28,110,1,0,0,10,60,300,1.03,257619,0
28,110,0,1,0,10,240,300,0.52,412190,0
28,111,0,0,1,40,240,500,1.03,257619,0
28,111,1,0,0,40,40,300,0.26,412190,0
28,111,1,0,0,70,240,500,1.29,373584,1
28,111,0,0,1,10,60,500,0.52,257619,0
28,112,1,0,0,100,15,500,1.03,412190,0
28,112,0,0,1,70,15,300,0.52,257619,1
28,112,1,0,0,40,60,500,0.52,373584,0
28,112,0,1,0,40,15,200,1.29,257619,0
29,113,0,1,0,100,60,500,0.26,257619,0
29,113,0,0,1,10,15,200,0.26,373584,1
29,113,0,0,1,70,60,200,1.29,412190,0
29,113,0,1,0,70,40,200,1.03,373584,0
29,114,1,0,0,100,240,200,0.52,257619,0
29,114,0,0,1,100,40,300,1.29,373584,1
29,114,1,0,0,10,60,300,1.03,257619,0
29,114,0,1,0,10,240,300,0.52,412190,0
29,115,0,0,1,40,240,500,1.03,257619,0
29,115,1,0,0,40,40,300,0.26,412190,0
29,115,1,0,0,70,240,500,1.29,373584,0
29,115,0,0,1,10,60,500,0.52,257619,1
29,116,1,0,0,100,15,500,1.03,412190,0
29,116,0,0,1,70,15,300,0.52,257619,1
29,116,1,0,0,40,60,500,0.52,373584,0
29,116,0,1,0,40,15,200,1.29,257619,0
30,117,0,1,0,100,60,500,0.26,257619,1
30,117,0,0,1,10,15,200,0.26,373584,0
30,117,0,0,1,70,60,200,1.29,412190,0
30,117,0,1,0,70,40,200,1.03,373584,0
30,118,1,0,0,100,240,200,0.52,257619,0
30,118,0,0,1,100,40,300,1.29,373584,0
30,118,1,0,0,10,60,300,1.03,257619,1
30,118,0,1,0,10,240,300,0.52,412190,0
30,119,0,0,1,40,240,500,1.03,257619,1
30,119,1,0,0,40,40,300,0.26,412190,0
30,119,1,0,0,70,240,500,1.29,373584,0
30,119,0,0,1,10,60,500,0.52,257619,0
30,120,1,0,0,100,15,500,1.03,412190,0
30,120,0,0,1,70,15,300,0.52,257619,1
30,120,1,0,0,40,60,500,0.52,373584,0
30,120,0,1,0,40,15,200,1.29,257619,0
31,121,0,1,0,100,60,500,0.26,257619,1
31,121,0,0,1,10,15,200,0.26,373584,0
31,121,0,0,1,70,60,200,1.29,412190,0
31,121,0,1,0,70,40,200,1.03,373584,0
31,122,1,0,0,100,240,200,0.52,257619,1
31,122,0,0,1,100,40,300,1.29,373584,0
31,122,1,0,0,10,60,300,1.03,257619,0
31,122,0,1,0,10,240,300,0.52,412190,0
31,123,0,0,1,40,240,500,1.03,257619,1
31,123,1,0,0,40,40,300,0.26,412190,0
31,123,1,0,0,70,240,500,1.29,373584,0
31,123,0,0,1,10,60,500,0.52,257619,0
31,124,1,0,0,100,15,500,1.03,412190,0
31,124,0,0,1,70,15,300,0.52,257619,0
31,124,1,0,0,40,60,500,0.52,373584,0
31,124,0,1,0,40,15,200,1.29,257619,1
32,125,0,1,0,100,60,500,0.26,257619,0
32,125,0,0,1,10,15,200,0.26,373584,1
32,125,0,0,1,70,60,200,1.29,412190,0
32,125,0,1,0,70,40,200,1.03,373584,0
32,126,1,0,0,100,240,200,0.52,257619,0
32,126,0,0,1,100,40,300,1.29,373584,1
32,126,1,0,0,10,60,300,1.03,257619,0
32,126,0,1,0,10,240,300,0.52,412190,0
32,127,0,0,1,40,240,500,1.03,257619,0
32,127,1,0,0,40,40,300,0.26,412190,1
32,127,1,0,0,70,240,500,1.29,373584,0
32,127,0,0,1,10,60,500,0.52,257619,0
32,128,1,0,0,100,15,500,1.03,412190,0
32,128,0,0,1,70,15,300,0.52,257619,1
32,128,1,0,0,40,60,500,0.52,373584,0
32,128,0,1,0,40,15,200,1.29,257619,0
33,129,0,1,0,100,60,500,0.26,257619,0
33,129,0,0,1,10,15,200,0.26,373584,0
33,129,0,0,1,70,60,200,1.29,412190,1
33,129,0,1,0,70,40,200,1.03,373584,0
33,130,1,0,0,100,240,200,0.52,257619,0
33,130,0,0,1,100,40,300,1.29,373584,1
33,130,1,0,0,10,60,300,1.03,257619,0
33,130,0,1,0,10,240,300,0.52,412190,0
33,131,0,0,1,40,240,500,1.03,257619,0
33,131,1,0,0,40,40,300,0.26,412190,0
33,131,1,0,0,70,240,500,1.29,373584,1
33,131,0,0,1,10,60,500,0.52,257619,0
33,132,1,0,0,100,15,500,1.03,412190,0
33,132,0,0,1,70,15,300,0.52,257619,1
33,132,1,0,0,40,60,500,0.52,373584,0
33,132,0,1,0,40,15,200,1.29,257619,0
34,133,0,1,0,100,60,500,0.26,257619,1
34,133,0,0,1,10,15,200,0.26,373584,0
34,133,0,0,1,70,60,200,1.29,412190,0
34,133,0,1,0,70,40,200,1.03,373584,0
34,134,1,0,0,100,240,200,0.52,257619,0
34,134,0,0,1,100,40,300,1.29,373584,1
34,134,1,0,0,10,60,300,1.03,257619,0
34,134,0,1,0,10,240,300,0.52,412190,0
34,135,0,0,1,40,240,500,1.03,257619,1
34,135,1,0,0,40,40,300,0.26,412190,0
34,135,1,0,0,70,240,500,1.29,373584,0
34,135,0,0,1,10,60,500,0.52,257619,0
34,136,1,0,0,100,15,500,1.03,412190,0
34,136,0,0,1,70,15,300,0.52,257619,1
34,136,1,0,0,40,60,500,0.52,373584,0
34,136,0,1,0,40,15,200,1.29,257619,0
35,137,0,1,0,100,60,500,0.26,257619,1
35,137,0,0,1,10,15,200,0.26,373584,0
35,137,0,0,1,70,60,200,1.29,412190,0
35,137,0,1,0,70,40,200,1.03,373584,0
35,138,1,0,0,100,240,200,0.52,257619,1
35,138,0,0,1,100,40,300,1.29,373584,0
35,138,1,0,0,10,60,300,1.03,257619,0
35,138,0,1,0,10,240,300,0.52,412190,0
35,139,0,0,1,40,240,500,1.03,257619,0
35,139,1,0,0,40,40,300,0.26,412190,0
